France Gate 2 weather rework — full steam — 2026-09-25
One fresh Open-Meteo HTTP fetch per scene. The retrieval timestamp is that response's HTTP Date header, recorded to the second.
Each scenario minute is the minute already baked on the master. It sits inside the model-valid hour cited for that scene.
Weather is model data, not an on-site observation. approval_status stays Candidate. Images, index.html, and manifests were not changed.
Scenes reworked: 248

Entry | Retrieval timestamp (UTC) | Model-valid hour | Scenario
FR-01-203 | 2026-09-25T23:51:29Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:45 Europe/Paris
FR-01-204 | 2026-09-25T23:51:31Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:45 Europe/Paris
FR-01-205 | 2026-09-25T23:51:32Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:45 Europe/Paris
FR-01-206 | 2026-09-25T23:51:33Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:45 Europe/Paris
FR-01-207 | 2026-09-25T23:51:34Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:45 Europe/Paris
FR-01-208 | 2026-09-25T23:51:36Z | 2026-09-23T22:00 Europe/Paris | 23 September 2026 · 22:45 Europe/Paris
FR-01-209 | 2026-09-25T23:51:37Z | 2026-09-23T17:00 America/Marigot | 23 September 2026 · 17:00 America/Marigot
FR-01-210 | 2026-09-25T23:51:38Z | 2026-09-23T19:00 America/Miquelon | 23 September 2026 · 19:00 America/Miquelon
FR-01-211 | 2026-09-25T23:51:40Z | 2026-09-23T11:00 Pacific/Tahiti | 23 September 2026 · 11:00 Pacific/Tahiti
FR-01-212 | 2026-09-25T23:51:41Z | 2026-09-24T08:00 Pacific/Noumea | 24 September 2026 · 08:00 Pacific/Noumea
FR-01-213 | 2026-09-25T23:51:43Z | 2026-09-23T17:00 America/Guadeloupe | 23 September 2026 · 17:00 America/Guadeloupe
FR-01-214 | 2026-09-25T23:51:44Z | 2026-09-23T18:00 America/Cayenne | 23 September 2026 · 18:00 America/Cayenne
FR-01-215 | 2026-09-25T23:51:46Z | 2026-09-24T01:00 Indian/Reunion | 24 September 2026 · 01:00 Indian/Reunion
FR-01-216 | 2026-09-25T23:51:47Z | 2026-09-23T17:00 America/Martinique | 23 September 2026 · 17:00 America/Martinique
FR-01-217 | 2026-09-25T23:51:49Z | 2026-09-24T00:00 Indian/Mayotte | 24 September 2026 · 00:00 Indian/Mayotte
FR-01-218 | 2026-09-25T23:51:50Z | 2026-09-23T17:00 America/St_Barthelemy | 23 September 2026 · 17:00 America/St_Barthelemy
FR-01-219 | 2026-09-25T23:51:52Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:00 Europe/Paris
FR-01-220 | 2026-09-25T23:51:54Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:00 Europe/Paris
FR-01-221 | 2026-09-25T23:51:55Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:00 Europe/Paris
FR-01-222 | 2026-09-25T23:51:57Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:00 Europe/Paris
FR-01-223 | 2026-09-25T23:51:58Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:00 Europe/Paris
FR-01-224 | 2026-09-25T23:52:00Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:00 Europe/Paris
FR-01-225 | 2026-09-25T23:52:01Z | 2026-09-23T17:00 America/Marigot | 23 September 2026 · 17:15 America/Marigot
FR-01-226 | 2026-09-25T23:52:03Z | 2026-09-23T19:00 America/Miquelon | 23 September 2026 · 19:15 America/Miquelon
FR-01-227 | 2026-09-25T23:52:04Z | 2026-09-23T11:00 Pacific/Tahiti | 23 September 2026 · 11:15 Pacific/Tahiti
FR-01-228 | 2026-09-25T23:52:06Z | 2026-09-24T08:00 Pacific/Noumea | 24 September 2026 · 08:15 Pacific/Noumea
FR-01-229 | 2026-09-25T23:52:07Z | 2026-09-23T17:00 America/Guadeloupe | 23 September 2026 · 17:15 America/Guadeloupe
FR-01-230 | 2026-09-25T23:52:09Z | 2026-09-23T18:00 America/Cayenne | 23 September 2026 · 18:15 America/Cayenne
FR-01-231 | 2026-09-25T23:52:10Z | 2026-09-24T01:00 Indian/Reunion | 24 September 2026 · 01:15 Indian/Reunion
FR-01-232 | 2026-09-25T23:52:12Z | 2026-09-23T17:00 America/Martinique | 23 September 2026 · 17:15 America/Martinique
FR-01-233 | 2026-09-25T23:52:13Z | 2026-09-24T00:00 Indian/Mayotte | 24 September 2026 · 00:15 Indian/Mayotte
FR-01-234 | 2026-09-25T23:52:15Z | 2026-09-23T17:00 America/St_Barthelemy | 23 September 2026 · 17:15 America/St_Barthelemy
FR-01-235 | 2026-09-25T23:52:16Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:15 Europe/Paris
FR-01-236 | 2026-09-25T23:52:18Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:15 Europe/Paris
FR-01-237 | 2026-09-25T23:52:19Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:15 Europe/Paris
FR-01-238 | 2026-09-25T23:52:21Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:15 Europe/Paris
FR-01-239 | 2026-09-25T23:52:22Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:15 Europe/Paris
FR-01-240 | 2026-09-25T23:52:24Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:15 Europe/Paris
FR-01-241 | 2026-09-25T23:52:25Z | 2026-09-23T17:00 America/Marigot | 23 September 2026 · 17:30 America/Marigot
FR-01-242 | 2026-09-25T23:52:27Z | 2026-09-23T19:00 America/Miquelon | 23 September 2026 · 19:30 America/Miquelon
FR-01-243 | 2026-09-25T23:52:28Z | 2026-09-23T11:00 Pacific/Tahiti | 23 September 2026 · 11:30 Pacific/Tahiti
FR-01-244 | 2026-09-25T23:52:30Z | 2026-09-24T08:00 Pacific/Noumea | 24 September 2026 · 08:30 Pacific/Noumea
FR-01-245 | 2026-09-25T23:52:31Z | 2026-09-23T17:00 America/Guadeloupe | 23 September 2026 · 17:30 America/Guadeloupe
FR-01-246 | 2026-09-25T23:52:33Z | 2026-09-23T18:00 America/Cayenne | 23 September 2026 · 18:15 America/Cayenne
FR-01-247 | 2026-09-25T23:52:34Z | 2026-09-24T01:00 Indian/Reunion | 24 September 2026 · 01:30 Indian/Reunion
FR-01-248 | 2026-09-25T23:52:36Z | 2026-09-23T17:00 America/Martinique | 23 September 2026 · 17:30 America/Martinique
FR-01-249 | 2026-09-25T23:52:37Z | 2026-09-24T00:00 Indian/Mayotte | 24 September 2026 · 00:30 Indian/Mayotte
FR-01-250 | 2026-09-25T23:52:39Z | 2026-09-23T17:00 America/St_Barthelemy | 23 September 2026 · 17:30 America/St_Barthelemy
FR-01-251 | 2026-09-25T23:52:41Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:30 Europe/Paris
FR-01-252 | 2026-09-25T23:52:42Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:30 Europe/Paris
FR-01-253 | 2026-09-25T23:52:44Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:30 Europe/Paris
FR-01-254 | 2026-09-25T23:52:45Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:30 Europe/Paris
FR-01-255 | 2026-09-25T23:52:47Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:30 Europe/Paris
FR-01-256 | 2026-09-25T23:52:48Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:30 Europe/Paris
FR-01-257 | 2026-09-25T23:53:36Z | 2026-09-23T17:00 America/Marigot | 23 September 2026 · 17:45 America/Marigot
FR-01-258 | 2026-09-25T23:53:38Z | 2026-09-23T19:00 America/Miquelon | 23 September 2026 · 19:45 America/Miquelon
FR-01-259 | 2026-09-25T23:53:39Z | 2026-09-23T11:00 Pacific/Tahiti | 23 September 2026 · 11:45 Pacific/Tahiti
FR-01-260 | 2026-09-25T23:53:41Z | 2026-09-24T08:00 Pacific/Noumea | 24 September 2026 · 08:45 Pacific/Noumea
FR-01-261 | 2026-09-25T23:53:42Z | 2026-09-23T17:00 America/Guadeloupe | 23 September 2026 · 17:45 America/Guadeloupe
FR-01-262 | 2026-09-25T23:53:44Z | 2026-09-23T18:00 America/Cayenne | 23 September 2026 · 18:45 America/Cayenne
FR-01-263 | 2026-09-25T23:53:45Z | 2026-09-24T01:00 Indian/Reunion | 24 September 2026 · 01:45 Indian/Reunion
FR-01-264 | 2026-09-25T23:53:47Z | 2026-09-23T17:00 America/Martinique | 23 September 2026 · 17:45 America/Martinique
FR-01-266 | 2026-09-25T23:53:48Z | 2026-09-23T17:00 America/St_Barthelemy | 23 September 2026 · 17:45 America/St_Barthelemy
FR-01-267 | 2026-09-25T23:53:50Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-268 | 2026-09-25T23:53:51Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-269 | 2026-09-25T23:53:53Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-270 | 2026-09-25T23:53:54Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-271 | 2026-09-25T23:53:56Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-272 | 2026-09-25T23:53:57Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-273 | 2026-09-25T23:53:59Z | 2026-09-23T17:00 America/Marigot | 23 September 2026 · 17:45 America/Marigot
FR-01-274 | 2026-09-25T23:54:00Z | 2026-09-23T19:00 America/Miquelon | 23 September 2026 · 19:45 America/Miquelon
FR-01-275 | 2026-09-25T23:54:02Z | 2026-09-23T11:00 Pacific/Tahiti | 23 September 2026 · 11:45 Pacific/Tahiti
FR-01-276 | 2026-09-25T23:54:03Z | 2026-09-24T08:00 Pacific/Noumea | 24 September 2026 · 08:45 Pacific/Noumea
FR-01-277 | 2026-09-25T23:54:05Z | 2026-09-23T17:00 America/Guadeloupe | 23 September 2026 · 17:45 America/Guadeloupe
FR-01-278 | 2026-09-25T23:54:06Z | 2026-09-23T18:00 America/Cayenne | 23 September 2026 · 18:45 America/Cayenne
FR-01-279 | 2026-09-25T23:54:08Z | 2026-09-24T01:00 Indian/Reunion | 24 September 2026 · 01:45 Indian/Reunion
FR-01-280 | 2026-09-25T23:54:09Z | 2026-09-23T17:00 America/Martinique | 23 September 2026 · 17:45 America/Martinique
FR-01-281 | 2026-09-25T23:54:11Z | 2026-09-24T00:00 Indian/Mayotte | 24 September 2026 · 00:45 Indian/Mayotte
FR-01-282 | 2026-09-25T23:54:12Z | 2026-09-23T17:00 America/St_Barthelemy | 23 September 2026 · 17:45 America/St_Barthelemy
FR-01-283 | 2026-09-25T23:54:14Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-284 | 2026-09-25T23:54:15Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-285 | 2026-09-25T23:54:17Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-286 | 2026-09-25T23:54:19Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-287 | 2026-09-25T23:54:20Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-288 | 2026-09-25T23:54:22Z | 2026-09-23T23:00 Europe/Paris | 23 September 2026 · 23:45 Europe/Paris
FR-01-289 | 2026-09-25T23:54:23Z | 2026-09-23T18:00 America/Marigot | 23 September 2026 · 18:00 America/Marigot
FR-01-290 | 2026-09-25T23:54:25Z | 2026-09-23T20:00 America/Miquelon | 23 September 2026 · 20:00 America/Miquelon
FR-01-291 | 2026-09-25T23:54:26Z | 2026-09-23T12:00 Pacific/Marquesas | 23 September 2026 · 12:30 Pacific/Marquesas
FR-01-292 | 2026-09-25T23:54:28Z | 2026-09-24T09:00 Pacific/Noumea | 24 September 2026 · 09:00 Pacific/Noumea
FR-01-293 | 2026-09-25T23:54:29Z | 2026-09-23T18:00 America/Guadeloupe | 23 September 2026 · 18:00 America/Guadeloupe
FR-01-294 | 2026-09-25T23:54:31Z | 2026-09-23T19:00 America/Cayenne | 23 September 2026 · 19:00 America/Cayenne
FR-01-295 | 2026-09-25T23:54:32Z | 2026-09-24T02:00 Indian/Reunion | 24 September 2026 · 02:00 Indian/Reunion
FR-01-296 | 2026-09-25T23:54:34Z | 2026-09-23T18:00 America/Martinique | 23 September 2026 · 18:00 America/Martinique
FR-01-297 | 2026-09-25T23:54:35Z | 2026-09-24T01:00 Indian/Mayotte | 24 September 2026 · 01:00 Indian/Mayotte
FR-01-298 | 2026-09-25T23:54:37Z | 2026-09-23T18:00 America/St_Barthelemy | 23 September 2026 · 18:00 America/St_Barthelemy
FR-01-299 | 2026-09-25T23:54:38Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:00 Europe/Paris
FR-01-300 | 2026-09-25T23:54:40Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:00 Europe/Paris
FR-01-301 | 2026-09-25T23:54:41Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:00 Europe/Paris
FR-01-302 | 2026-09-25T23:54:43Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:00 Europe/Paris
FR-01-303 | 2026-09-25T23:54:44Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:00 Europe/Paris
FR-01-304 | 2026-09-25T23:54:46Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:00 Europe/Paris
FR-01-305 | 2026-09-25T23:54:47Z | 2026-09-23T18:00 America/Marigot | 23 September 2026 · 18:15 America/Marigot
FR-01-306 | 2026-09-25T23:54:49Z | 2026-09-23T20:00 America/Miquelon | 23 September 2026 · 20:15 America/Miquelon
FR-01-307 | 2026-09-25T23:54:50Z | 2026-09-23T12:00 Pacific/Marquesas | 23 September 2026 · 12:45 Pacific/Marquesas
FR-01-308 | 2026-09-25T23:54:52Z | 2026-09-24T09:00 Pacific/Noumea | 24 September 2026 · 09:15 Pacific/Noumea
FR-01-309 | 2026-09-25T23:54:53Z | 2026-09-23T18:00 America/Guadeloupe | 23 September 2026 · 18:15 America/Guadeloupe
FR-01-310 | 2026-09-25T23:54:55Z | 2026-09-23T19:00 America/Cayenne | 23 September 2026 · 19:15 America/Cayenne
FR-01-311 | 2026-09-25T23:54:56Z | 2026-09-24T02:00 Indian/Reunion | 24 September 2026 · 02:15 Indian/Reunion
FR-01-312 | 2026-09-25T23:54:58Z | 2026-09-23T18:00 America/Martinique | 23 September 2026 · 18:15 America/Martinique
FR-01-313 | 2026-09-25T23:54:59Z | 2026-09-24T01:00 Indian/Mayotte | 24 September 2026 · 01:15 Indian/Mayotte
FR-01-314 | 2026-09-25T23:55:01Z | 2026-09-23T18:00 America/St_Barthelemy | 23 September 2026 · 18:15 America/St_Barthelemy
FR-01-315 | 2026-09-25T23:55:02Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:15 Europe/Paris
FR-01-316 | 2026-09-25T23:55:04Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:15 Europe/Paris
FR-01-317 | 2026-09-25T23:55:05Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:15 Europe/Paris
FR-01-318 | 2026-09-25T23:55:07Z | 2026-09-24T00:00 Europe/Paris | 24 September 2026 · 00:15 Europe/Paris
